Date,TotalRevenue,NumInvoices,NumCustomers,UKShareRevenue,DayOfWeek,Month,IsWeekend,IsDecember
2009-12-01,54513.5,119,91,0.8774180707531162,1,12,0,1
2009-12-02,63352.51,115,94,0.8848140349924573,2,12,0,1
2009-12-03,74037.91,124,106,0.9844464815389845,3,12,0,1
2009-12-04,40732.92,89,76,0.9357774988878774,4,12,0,1
2009-12-05,9803.05,30,26,0.9224027216019506,5,12,1,1
2009-12-06,24613.64,74,63,0.9427272845462923,6,12,1,1
2009-12-07,45083.35,101,77,0.8895059927889122,0,12,0,1
2009-12-08,49517.23,109,91,0.936651747280694,1,12,0,1
2009-12-09,40616.090000000004,88,74,0.9438483615729627,2,12,0,1
2009-12-10,44442.11,92,82,0.9796641068572127,3,12,0,1
2009-12-11,39659.6,70,58,1.0,4,12,0,1
2009-12-13,22313.09,71,63,0.8828113900853715,6,12,1,1
2009-12-14,73327.66,90,69,0.9316878514874196,0,12,0,1
2009-12-15,50340.24,98,89,0.9495195096407963,1,12,0,1
2009-12-16,52792.25,98,81,0.96520189990008,2,12,0,1
2009-12-17,31239.47,104,77,0.8929146365159204,3,12,0,1
2009-12-18,42588.09,68,55,0.6777364281891957,4,12,0,1
2009-12-20,11450.68,34,31,0.885975330722717,6,12,1,1
2009-12-21,16367.84,41,30,0.5080071652704328,0,12,0,1
2009-12-22,28023.43,45,16,0.9797130472608099,1,12,0,1
2009-12-23,10871.1,22,12,0.5263533589057225,2,12,0,1
2010-01-04,13481.25,29,22,1.0,0,1,0,0
2010-01-05,19199.29,36,31,1.0,1,1,0,0
2010-01-06,8746.18,14,13,1.0,2,1,0,0
2010-01-07,73085.74,47,41,0.33225660710283567,3,1,0,0
2010-01-08,30319.05,45,42,0.8005587246302243,4,1,0,0
2010-01-10,23688.600000000002,34,29,0.9679069256942158,6,1,1,0
2010-01-11,37887.26,56,37,0.8649329616340691,0,1,0,0
2010-01-12,40856.53,39,32,0.9418560509176869,1,1,0,0
2010-01-13,22489.07,30,25,0.8604139699863089,2,1,0,0
2010-01-14,31672.73,58,47,0.9516555724751229,3,1,0,0
2010-01-15,13515.89,46,37,0.8317498884646146,4,1,0,0
2010-01-17,17578.24,40,35,1.0,6,1,1,0
2010-01-18,21451.56,40,32,0.9609002795134712,0,1,0,0
2010-01-19,33352.561,47,41,0.8918167033709944,1,1,0,0
2010-01-20,19140.16,37,31,0.8386941383980071,2,1,0,0
2010-01-21,27391.96,48,47,0.5222492293359073,3,1,0,0
2010-01-22,36814.82,45,39,0.5456984442678248,4,1,0,0
2010-01-24,16070.24,50,48,0.9653066786805923,6,1,1,0
2010-01-25,23045.6,57,44,0.9106358697538793,0,1,0,0
2010-01-26,47243.840000000004,93,68,0.4839248884087322,1,1,0,0
2010-01-27,28703.6,56,47,0.9308658147410082,2,1,0,0
2010-01-28,19865.670000000002,56,48,0.9479166823973215,3,1,0,0
2010-01-29,28403.981,49,37,0.9966025889117445,4,1,0,0
2010-01-31,18704.68,53,47,0.8180091827286006,6,1,1,0
2010-02-01,19831.431,66,49,0.8227253494717552,0,2,0,0
2010-02-02,21696.7,46,34,0.8281019694239217,1,2,0,0
2010-02-03,21450.191,49,41,0.9091131636077274,2,2,0,0
2010-02-04,22676.5,64,52,0.9607377681741011,3,2,0,0
2010-02-05,21931.04,40,35,0.9839027241754152,4,2,0,0
2010-02-07,17078.21,30,29,0.48043852370945206,6,2,1,0
2010-02-08,17438.52,60,45,0.7867605737184119,0,2,0,0
2010-02-09,19666.54,54,51,0.6939888765385268,1,2,0,0
2010-02-10,9583.09,31,24,0.9554548689410202,2,2,0,0
2010-02-11,15114.4,56,48,0.8637901603768592,3,2,0,0
2010-02-12,11393.61,32,27,0.8918235747932394,4,2,0,0
2010-02-14,17914.45,46,39,0.9138064523331724,6,2,1,0
